Name of Business,Address,Phone Number
Rotelli,"
118 South Pugh Street PA State College 16801",(814) 954-4160
Rotelli State College,"
120 E. Beaver Ave PA State College 16801",814-954-4160
Sadie’s Gourmet Waffles,"
113 Heister Street PA State College 16801",(814) 237-5500
Sadie’s Waffles,"
218 E Calder Way PA State College 16801",(814) 237-5710
Shalimar Indian Cuisine,"
Pa Lemont 16851",8142341228
The Deli Restaurant,"
118 Water Street PA Spring Mills 16875",(814) 422-0212
The Pita Pit,"
401 South Juniata Street PA Hollidaysburg 16648",(814) 695-9924
The Victorian Manor,"
128 E College Ave PA State College 16801",(814) 861-8022
The Water Street Grill,"
105 South Main Street PA Pleasant Gap 16823",814-548-7380
U.S. Hotel Restaurant & Tavern,"
324 W College Ave PA State College 16801",(814) 237-8474
