State,Town,Address,Store Phone
New York - Buffalo,Sheridan Drive,"5275 Sheridan Drive
Williamsville, Ny 14221",716-631-4300
New York - Buffalo,Transit Rd.,"8270 Transit Road
Buffalo, Ny 14221",716-636-5600
New York - Buffalo,West Seneca,"370 Orchard Park Road
West Seneca, Ny 14224",716-826-4000
Pennsylvania,Allentown,"3900 Tilghman St
Allentown, Pa 18104",610-336-7900
Pennsylvania,Bethlehem,"5000 Wegmans Drive
Bethlehem, Pa 18017",610-317-1300
Pennsylvania,Collegeville,"600 Commerce Drive
Collegeville, Pa 19426",484-902-1500
Pennsylvania,Concordville,"100 Applied Bank Blvd
Glen Mills, Pa 19342",484-785-9900
Pennsylvania,Downingtown,"1056 East Lancaster Avenue
Downingtown, Pa 19335",610-518-7800
Pennsylvania,Erie Peach St.,"6143 Peach Street
Erie, Pa 16509",814-860-5300
Pennsylvania,Erie West,"5028 West Ridge Road
Erie, Pa 16506",814-835-1900
Pennsylvania,Harrisburg,"6416 Carlisle Pike
Mechanicsburg, Pa 17050",717-791-4500
Pennsylvania,King Of Prussia,"1 Village Drive
King Of Prussia, Pa 19406",484-690-3500
Pennsylvania,Lancaster,"2000 Crossings Blvd.
Lancaster, Pa 17601",717-358-9400
Pennsylvania,Malvern,"50 Foundry Way
Malvern, Pa 19355",484-913-9600
Pennsylvania,Montgomeryville,"500 Montgomery Mall
North Wales, Pa 19454",267-677-0700
Pennsylvania,Nazareth,"3791 Easton-Nazareth Highway
Easton, Pa 18045",610-515-2400
Pennsylvania,Scranton,"1315 Scranton Carbondale Hwy
Scranton, Pa 18508",570-383-8721
Pennsylvania,State College,"345 Colonnade Boulevard
State College, Pa 16803",814-278-9000
Pennsylvania,Warrington,"1405 Main St
Warrington, Pa 18976",215-918-3900
Pennsylvania,Wilkes-Barre,"220 Highland Park Boulevard
Wilkes-Barre Township, Pa 18702",570-825-4400
Pennsylvania,Williamsport,"201 William Street
Williamsport, Pa 17701",570-320-8778
Virginia,Alexandria,"7905 Hilltop Village Center Drive
Alexandria, Va 22315",571-527-2400
Virginia,Chantilly,"14361 Newbrook Drive
Chantilly, Va 20151",571-525-5525
Virginia,Charlottesville,"100 Wegmans Way
Charlottesville, Va 22902",434-529-3200
Virginia,Dulles,"45131 Columbia Place, Sterling, Va 20166
Sterling, Va 20166",703-421-2400
Virginia,Fairfax,"11620 Monument Drive
Fairfax, Va 22030",703-653-1600
Virginia,Fredericksburg,"2281 Carl D. Silver Parkway
Fredericksburg, Va 22401",540-322-4800
Virginia,Lake Manassas,"8297 Stonewall Shops Square
Gainesville, Va 20155",571-222-2300
Virginia,Leesburg,"101 Crosstrail Blvd Se
Leesburg, Va 20175",703-669-2044
Virginia,Midlothian,"12501 Stone Village Way
Midlothian, Va 23113",804-419-9900
Virginia,Potomac,"14801 Dining Way
Woodbridge, Va 22191",703-763-5500
Virginia,Short Pump,"12200 Wegmans Blvd
Henrico, Va 23233",804-377-4100
Virginia,Tysons,"1835 Capital One Drive South
Mclean, Va 22102",571-423-0700
Virginia,Virginia Beach,"4721 Virginia Beach Blvd
Virginia Beach, Va 23462",757-271-0500
